time_point,outdoor,ventilation_rate,pm25_concen,pm25_intake
2017/4/1 16:59,0,6.084,13.3,0.00011
2017/4/1 16:58,0,6.084,13.3,0.000296
2017/4/1 16:54,0,6.084,13.3,0.000138
2017/4/1 16:53,0,6.084,13.3,0.000267
2017/4/1 16:49,0,6.084,13.3,0.000108
2017/4/1 16:48,0,6.084,13.3,0.000297
2017/4/1 16:44,0,6.084,13.3,0.000108
2017/4/1 16:43,0,6.084,13.3,0.000298
2017/4/1 16:39,0,6.084,13.3,0.000107
2017/4/1 16:38,0,6.084,13.3,0.000298
2017/4/1 16:34,0,6.084,13.3,0.000106
2017/4/1 16:33,0,6.084,13.3,0.000299
2017/4/1 16:29,0,6.084,13.3,0.000106
2017/4/1 16:28,0,6.084,13.3,0.0003
2017/4/1 16:24,0,6.084,13.3,0.000105
2017/4/1 16:23,0,6.084,13.3,0.000301
2017/4/1 16:19,0,6.084,13.3,0.000104
2017/4/1 16:18,0,6.084,13.3,0.000301
2017/4/1 16:14,0,6.084,13.3,0.000103
2017/4/1 16:13,0,6.084,13.3,0.000312
2017/4/1 16:09,0,6.084,13.3,0.000093
2017/4/1 16:08,0,6.084,13.3,0.000223
2017/4/1 16:05,0,6.084,13.3,0.000099
2017/4/1 16:04,0,6.084,38,0.000127
2017/4/1 16:03,0,6.084,38,0.000167
2017/4/1 16:03,1,6.084,76,0.002014
2017/4/1 15:58,1,12.7764,76,0.000602
2017/4/1 15:58,1,6.084,76,0.000262
2017/4/1 15:57,1,6.084,76,0.000241
2017/4/1 15:57,1,6.084,76,0.000239
2017/4/1 15:57,1,6.084,76,0.000619
2017/4/1 15:55,1,12.7764,76,0.001316
2017/4/1 15:54,1,12.7764,76,0.002341
2017/4/1 15:52,0,12.7764,38,0.000376
2017/4/1 15:52,0,12.7764,38,0.000376
2017/4/1 15:52,0,12.7764,38,0.00085
2017/4/1 15:52,0,12.7764,44,0.000901
2017/4/1 15:50,0,12.7764,38,0.000321
2017/4/1 15:49,0,12.7764,38,0.000247
2017/4/1 15:49,0,6.084,38,0.000385
2017/4/1 15:47,0,12.7764,38,0.00028
2017/4/1 15:47,0,6.084,38,0.000247
2017/4/1 15:45,0,12.7764,38,0.00079
2017/4/1 15:44,0,6.084,38,0.000537
2017/4/1 15:41,0,6.084,38,0.000619
2017/4/1 15:39,0,6.084,38,0.00054
2017/4/1 15:36,0,6.084,38,0.000616
2017/4/1 15:34,0,6.084,38,0.000544
2017/4/1 15:31,0,6.084,38,0.000612
2017/4/1 15:29,0,6.084,38,0.000547
2017/4/1 15:26,0,6.084,38,0.000609
